T_ID:2| Lexema:void| Line:1
T_ID:11| Lexema:main| Line:1
T_ID:46| Lexema:(| Line:1
T_ID:45| Lexema:)| Line:1
T_ID:39| Lexema:{| Line:1
T_ID:9| Lexema:i| Line:2
T_ID:41| Lexema::| Line:2
T_ID:13| Lexema:integer| Line:2
T_ID:40| Lexema:;| Line:2
T_ID:9| Lexema:i| Line:3
T_ID:32| Lexema:=| Line:3
T_ID:5| Lexema:0| Line:3
T_ID:40| Lexema:;| Line:3
T_ID:18| Lexema:for| Line:4
T_ID:46| Lexema:(| Line:4
T_ID:9| Lexema:i| Line:4
T_ID:32| Lexema:=| Line:4
T_ID:5| Lexema:0| Line:4
T_ID:40| Lexema:;| Line:4
T_ID:99| Lexema:i| Line:4
T_ID:35| Lexema:<| Line:4
T_ID:5| Lexema:10| Line:4
T_ID:40| Lexema:;| Line:4
T_ID:36| Lexema:++| Line:4
T_ID:5| Lexema:1| Line:4
T_ID:45| Lexema:)| Line:4
T_ID:39| Lexema:{| Line:4
T_ID:24| Lexema:cout| Line:5
T_ID:34| Lexema:<<| Line:5
T_ID:9| Lexema:i| Line:5
T_ID:40| Lexema:;| Line:5
T_ID:38| Lexema:}| Line:6
T_ID:38| Lexema:}| Line:7
